,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19
837,67.0,25.0,23.0,24.0,19.0,20.0,17.0,28.0,18.0,15.0,26.0,18.0,14.0,23.0,18.0,19.0,20.0,21.0,20.0,15.0
838,62.0,23.0,22.0,20.0,19.0,22.0,16.0,27.0,21.0,17.0,25.0,20.0,15.0,22.0,15.0,17.0,20.0,22.0,20.0,15.0
839,69.0,22.0,21.0,21.0,19.0,21.0,17.0,26.0,19.0,24.0,24.0,24.0,17.0,21.0,13.0,17.0,19.0,24.0,21.0,16.0
840,68.0,19.0,19.0,23.0,20.0,24.0,15.0,28.0,15.0,19.0,23.0,21.0,14.0,23.0,14.0,19.0,18.0,22.0,22.0,19.0
841,66.0,18.0,17.0,23.0,20.0,25.0,16.0,26.0,15.0,17.0,22.0,22.0,16.0,21.0,16.0,21.0,20.0,21.0,23.0,22.0
842,67.0,15.0,17.0,22.0,19.0,22.0,22.0,23.0,14.0,18.0,21.0,22.0,15.0,24.0,20.0,22.0,20.0,19.0,22.0,18.0
843,65.0,19.0,19.0,22.0,20.0,21.0,22.0,18.0,12.0,20.0,21.0,21.0,20.0,24.0,16.0,21.0,22.0,16.0,19.0,21.0
844,65.0,16.0,20.0,23.0,22.0,25.0,22.0,19.0,13.0,24.0,21.0,17.0,22.0,23.0,13.0,21.0,19.0,20.0,21.0,18.0
845,63.0,14.0,20.0,21.0,22.0,22.0,22.0,21.0,15.0,23.0,25.0,17.0,20.0,23.0,14.0,24.0,15.0,23.0,21.0,19.0
846,61.0,14.0,26.0,19.0,20.0,22.0,20.0,25.0,15.0,23.0,24.0,17.0,20.0,21.0,16.0,26.0,18.0,21.0,19.0,15.0
847,65.0,10.0,27.0,15.0,21.0,20.0,17.0,25.0,16.0,22.0,22.0,17.0,18.0,17.0,18.0,26.0,19.0,19.0,21.0,22.0
848,62.0,10.0,29.0,15.0,23.0,23.0,17.0,27.0,15.0,24.0,26.0,14.0,19.0,19.0,16.0,23.0,19.0,21.0,20.0,19.0
849,65.0,14.0,32.0,17.0,21.0,24.0,17.0,25.0,17.0,23.0,23.0,14.0,19.0,22.0,20.0,23.0,21.0,21.0,22.0,19.0
850,67.0,17.0,29.0,18.0,22.0,22.0,18.0,24.0,18.0,22.0,22.0,16.0,20.0,20.0,23.0,20.0,20.0,19.0,19.0,21.0
851,65.0,19.0,28.0,17.0,23.0,20.0,15.0,21.0,19.0,19.0,22.0,16.0,20.0,21.0,22.0,19.0,20.0,16.0,21.0,21.0
852,65.0,17.0,27.0,14.0,24.0,20.0,15.0,20.0,21.0,15.0,24.0,13.0,19.0,20.0,23.0,17.0,18.0,16.0,20.0,22.0
853,65.0,22.0,27.0,16.0,27.0,17.0,17.0,21.0,19.0,16.0,27.0,15.0,19.0,21.0,21.0,24.0,13.0,17.0,24.0,23.0
854,63.0,22.0,27.0,14.0,30.0,20.0,19.0,20.0,20.0,19.0,27.0,15.0,20.0,20.0,20.0,22.0,14.0,15.0,24.0,21.0
855,67.0,19.0,26.0,14.0,26.0,20.0,21.0,21.0,20.0,25.0,29.0,13.0,18.0,22.0,18.0,24.0,14.0,16.0,24.0,20.0
856,65.0,19.0,23.0,15.0,22.0,20.0,23.0,20.0,19.0,21.0,28.0,15.0,20.0,21.0,19.0,27.0,17.0,15.0,26.0,20.0
857,65.0,18.0,23.0,13.0,26.0,18.0,24.0,20.0,20.0,25.0,25.0,14.0,20.0,20.0,22.0,26.0,18.0,19.0,27.0,22.0
858,67.0,14.0,21.0,11.0,23.0,16.0,24.0,20.0,19.0,23.0,24.0,12.0,22.0,17.0,23.0,25.0,18.0,21.0,27.0,23.0
859,65.0,14.0,18.0,12.0,22.0,17.0,19.0,23.0,20.0,21.0,18.0,12.0,21.0,19.0,24.0,29.0,18.0,22.0,28.0,19.0
860,61.0,14.0,19.0,12.0,22.0,19.0,15.0,23.0,18.0,26.0,17.0,17.0,21.0,17.0,21.0,25.0,20.0,23.0,27.0,21.0
861,65.0,14.0,17.0,14.0,21.0,24.0,12.0,22.0,22.0,24.0,18.0,18.0,17.0,21.0,22.0,26.0,18.0,22.0,23.0,19.0
862,66.0,15.0,17.0,16.0,23.0,23.0,10.0,23.0,17.0,24.0,17.0,20.0,20.0,18.0,22.0,26.0,15.0,20.0,23.0,18.0
